;Titolo;Autore;Casa Editrice;Cassetta
105;A 400. Rivista anarchica;;Rivista anarchica;
54;A woman of no importance;Wilde;;
127;Aeropagitica discorso per la libertà di stampa;Milton John;Corriere della Sera;3
289;Alcesti;Euripide;Avia Pervia;9
167;Alcestis;Euripide;;
313;Algebra;Vari;Mondadori;
314;Algebra;Vari;Mondadori;
252;Alla baia e altri racconti;Mansfield Katherine;Il Sole 24 Ore;8
240;Alter e (un fagiano);Giorgi Mario;Duepunti edizioni;
270;Altri mondi, altre menti, altrimenti;Latouche Serge;Rubettino;8
165;Aminta;Tasso Torquato;Mursia;3
315;Analisi;Vari;Mondadori;
288;Andromaca;Euripide;Avia Pervia;9
156;Appunti di fonologia italiana;Melillo A. M.;Atlantica;3
75;Arrivano i NAM;Colaprico;;
113;Arrivederci, bandiera rossa;Evtusenko;;7
58;Arsene Lupin;Leblanc;;
6;Asakusa Kid;Kitano Takeshi;Mondadori;Jovo
17;Astronomia;Rigutti Mario;Giunti;1
209;Babilonia;Trombino;Severe;7
45;Banche controcorrente;Quaglio Antonio;Il Sole 24 Ore;2
272;Basic in 30 ore;Consorzio per l’Università a Distanza;Consorzio per l’Università a Distanza;8
213;Baudelaire e Catullo in endecasillabi;Gallo Gerardo;Crathis;7
192;Bellum catilinae;Gaio Sallustio Crispo;Ciranna & Ferrara;6
186;Bellum catilinae;Gaio Sallustio Crispo;Ciranna & Ferrara;
231;Bollettino Filosofico XXIII (2007);Mocchi Giuliana - Piazza Marco;Aracne;7
110;Breve storia della cittadinanza;D’Alessandro;;
223;Breve storia della letteratura spagnola;Rossi Rosa;Rizzoli;7
123;Capitale & Linguaggio;Marazzi Christian;Rubettino;3
101;Capitan Bavastro, Fra Diavolo;Perri;;
135;Caravaggio;Zeri;Rizzoli;
52;Carolei;Castagna Bruno;Librare;2
276;Cato Maior de senectute;Cicerone;Avia Pervia;9
35;Come si esce dalla crisi;Vari;Alegre;2
77;Congiungimenti;Musil;;
114;Così raccontano i nostri vecchi;Subcomandante Marcos;Intra Moenia;temp
197;Critone;Platone;Società editrice Dante Alighieri;6
267;Critone;Platone;Società editrice Dante Alighieri;8
233;Critone;Platone;Società editrice Internazionale;7
220;Cuore di cane;Bulgakov Mikhail;Newton;7
95;Cuore di pietra;Vassalli;;
43;Cure disperate;Venstein;;Giada
8;Curve pericolose;Ranieri - Moretti;Il galeone;Jovo
34;Da qui all’eternità;Rizzo Sergio;Feltrinelli;2
144;Danze macabre;Rilke Rainer Maria;Newton;3
302;De Officiis Libro 1;Cicerone M.T.;Avia Pervia;9
287;De Officiis Libro 2;Cicerone M.T.;Avia Pervia;9
284;De Officiis Libro 3;Cicerone M.T.;Avia Pervia;9
160;De Officiis Libro 3;Cicerone M.T.;Avia Pervia;3
283;De re publica;Cicerone M.T.;Avia Pervia;9
183;De rerum natura;Tito Lucrezio Caro;;
140;Destino;Conrad Joseph;Newton;3
56;Diritto tributario;D’Amati;;
238;Discorso fatto agli uomini dalla specie impermalente dei cammelli polari;Gonna Giuseppe;Duepunti edizioni;
239;Discorso fatto agli uomini dalla specie impermalente dei cammelli polari;Gonna Giuseppe;Duepunti edizioni;
92;Dove il vento suona;Dumas Alexandre;Pungitopo;3
12;Dracula;Stoker Bram;Newton;1
74;Draghi e principesse;Vari;;
184;Drama of the English Renaissance;Wine;;
